2010:05:02:00:00:00,2010:05:03:00:00:00,JSOC_20181122_093
2011:08:29:00:00:00,2011:08:30:00:00:00,JSOC_20181122_271
2011:08:30:00:00:00,2011:08:31:00:00:00,JSOC_20181122_272
2011:08:27:00:00:00,2011:08:28:00:00:00,JSOC_20181122_273
2011:09:11:00:00:00,2011:09:12:00:00:00,JSOC_20181122_274
2011:09:15:00:00:00,2011:09:16:00:00:00,JSOC_20181122_275
2011:09:13:00:00:00,2011:09:14:00:00:00,JSOC_20181122_276
2011:09:17:00:00:00,2011:09:18:00:00:00,JSOC_20181122_277
2011:09:25:00:00:00,2011:09:26:00:00:00,JSOC_20181122_278
2011:10:01:00:00:00,2011:10:02:00:00:00,JSOC_20181122_279
2011:10:04:00:00:00,2011:10:05:00:00:00,JSOC_20181122_280
2011:10:05:00:00:00,2011:10:06:00:00:00,JSOC_20181122_281
2011:10:09:00:00:00,2011:10:10:00:00:00,JSOC_20181122_283
2011:10:18:00:00:00,2011:10:19:00:00:00,JSOC_20181122_284
2011:10:19:00:00:00,2011:10:20:00:00:00,JSOC_20181122_286
2011:10:21:00:00:00,2011:10:22:00:00:00,JSOC_20181122_287
2011:10:29:00:00:00,2011:10:30:00:00:00,JSOC_20181122_288
2011:10:31:00:00:00,2011:11:01:00:00:00,JSOC_20181122_289
2011:11:01:00:00:00,2011:11:02:00:00:00,JSOC_20181122_292
2011:11:03:00:00:00,2011:11:04:00:00:00,JSOC_20181122_293
2011:11:04:00:00:00,2011:11:05:00:00:00,JSOC_20181122_294
2011:11:09:00:00:00,2011:11:10:00:00:00,JSOC_20181122_295
2011:11:16:00:00:00,2011:11:17:00:00:00,JSOC_20181122_296
2011:11:21:00:00:00,2011:11:22:00:00:00,JSOC_20181122_297
2011:11:22:00:00:00,2011:11:23:00:00:00,JSOC_20181122_298
2011:12:07:00:00:00,2011:12:08:00:00:00,JSOC_20181122_299
2011:12:06:00:00:00,2011:12:07:00:00:00,JSOC_20181028_236
2011:12:08:00:00:00,2011:12:09:00:00:00,JSOC_20181122_300
2011:12:17:00:00:00,2011:12:18:00:00:00,JSOC_20181122_301
2011:12:21:00:00:00,2011:12:22:00:00:00,JSOC_20181122_302
2011:12:23:00:00:00,2011:12:24:00:00:00,JSOC_20181122_303
2012:01:01:00:00:00,2012:01:02:00:00:00,JSOC_20181122_304
2011:12:30:00:00:00,2011:12:31:00:00:00,JSOC_20181122_305
2012:01:14:00:00:00,2012:01:15:00:00:00,JSOC_20181122_306
2012:01:19:00:00:00,2012:01:20:00:00:00,JSOC_20181122_307
2012:01:16:00:00:00,2012:01:17:00:00:00,JSOC_20181122_308
2012:01:20:00:00:00,2012:01:21:00:00:00,JSOC_20181122_309
2012:01:26:00:00:00,2012:01:27:00:00:00,JSOC_20181122_310
2012:01:24:00:00:00,2012:01:25:00:00:00,JSOC_20181122_311
2012:01:31:00:00:00,2012:02:01:00:00:00,JSOC_20181122_312
2012:01:31:00:00:00,2012:02:01:00:00:00,JSOC_20181122_313
2012:02:17:00:00:00,2012:02:18:00:00:00,JSOC_20181122_314
2012:02:17:00:00:00,2012:02:18:00:00:00,JSOC_20181122_315
2012:03:25:00:00:00,2012:03:26:00:00:00,JSOC_20181122_316
2012:03:26:00:00:00,2012:03:27:00:00:00,JSOC_20181122_317
2012:03:28:00:00:00,2012:03:29:00:00:00,JSOC_20181122_318
2012:04:05:00:00:00,2012:04:06:00:00:00,JSOC_20181122_319
2012:04:14:00:00:00,2012:04:15:00:00:00,JSOC_20181122_320
2012:04:15:00:00:00,2012:04:16:00:00:00,JSOC_20181122_321
2012:04:21:00:00:00,2012:04:22:00:00:00,JSOC_20181122_322
2012:05:01:00:00:00,2012:05:02:00:00:00,JSOC_20181122_323
2012:05:01:00:00:00,2012:05:02:00:00:00,JSOC_20181122_324
2012:05:07:00:00:00,2012:05:08:00:00:00,JSOC_20181122_325
2012:05:13:00:00:00,2012:05:14:00:00:00,JSOC_20181122_326
2012:05:14:00:00:00,2012:05:15:00:00:00,JSOC_20181122_327
2012:05:15:00:00:00,2012:05:16:00:00:00,JSOC_20181122_328
2012:05:17:00:00:00,2012:05:18:00:00:00,JSOC_20181122_329
2012:05:28:00:00:00,2012:05:29:00:00:00,JSOC_20181122_330
2012:05:30:00:00:00,2012:05:31:00:00:00,JSOC_20181122_332
2012:06:03:00:00:00,2012:06:04:00:00:00,JSOC_20181122_333
2012:06:06:00:00:00,2012:06:07:00:00:00,JSOC_20181122_334
2012:07:08:00:00:00,2012:07:09:00:00:00,JSOC_20181122_335
2012:07:14:00:00:00,2012:07:15:00:00:00,JSOC_20181122_336
2012:07:24:00:00:00,2012:07:25:00:00:00,JSOC_20181122_339
2012:07:28:00:00:00,2012:07:29:00:00:00,JSOC_20181122_340
2012:07:28:00:00:00,2012:07:29:00:00:00,JSOC_20181122_341
2012:07:29:00:00:00,2012:07:30:00:00:00,JSOC_20181122_342
2012:08:05:00:00:00,2012:08:06:00:00:00,JSOC_20181122_343
2012:08:21:00:00:00,2012:08:22:00:00:00,JSOC_20181122_344
2012:08:18:00:00:00,2012:08:19:00:00:00,JSOC_20181122_345
2012:08:23:00:00:00,2012:08:24:00:00:00,JSOC_20181122_346
2012:08:25:00:00:00,2012:08:26:00:00:00,JSOC_20181122_347
2012:08:27:00:00:00,2012:08:28:00:00:00,JSOC_20181122_348
2012:08:30:00:00:00,2012:08:31:00:00:00,JSOC_20181122_349
2012:08:30:00:00:00,2012:08:31:00:00:00,JSOC_20181122_350
2012:09:01:00:00:00,2012:09:02:00:00:00,JSOC_20181122_351
2012:08:31:00:00:00,2012:09:01:00:00:00,JSOC_20181122_352
2012:08:31:00:00:00,2012:09:01:00:00:00,JSOC_20181122_353
2012:09:02:00:00:00,2012:09:03:00:00:00,JSOC_20181122_354
2012:09:04:00:00:00,2012:09:05:00:00:00,JSOC_20181122_355
2012:09:04:00:00:00,2012:09:05:00:00:00,JSOC_20181122_356
2012:09:04:00:00:00,2012:09:05:00:00:00,JSOC_20181122_357
2012:09:08:00:00:00,2012:09:09:00:00:00,JSOC_20181122_358
2012:09:10:00:00:00,2012:09:11:00:00:00,JSOC_20181122_359
2012:09:14:00:00:00,2012:09:15:00:00:00,JSOC_20181122_360
2012:09:16:00:00:00,2012:09:17:00:00:00,JSOC_20181122_361
2012:09:19:00:00:00,2012:09:20:00:00:00,JSOC_20181122_362
2012:09:24:00:00:00,2012:09:25:00:00:00,JSOC_20181122_363
2012:09:25:00:00:00,2012:09:26:00:00:00,JSOC_20181122_364
2012:09:29:00:00:00,2012:09:30:00:00:00,JSOC_20181122_365
2012:10:06:00:00:00,2012:10:07:00:00:00,JSOC_20181122_366
2012:10:11:00:00:00,2012:10:12:00:00:00,JSOC_20181122_367
2012:10:15:00:00:00,2012:10:16:00:00:00,JSOC_20181122_368
2012:10:15:00:00:00,2012:10:16:00:00:00,JSOC_20181122_369
2012:10:28:00:00:00,2012:10:29:00:00:00,JSOC_20181122_370
2012:11:02:00:00:00,2012:11:03:00:00:00,JSOC_20181122_371
2012:11:05:00:00:00,2012:11:06:00:00:00,JSOC_20181122_372
2012:11:07:00:00:00,2012:11:08:00:00:00,JSOC_20181122_373
2012:11:11:00:00:00,2012:11:12:00:00:00,JSOC_20181122_374
2012:11:12:00:00:00,2012:11:13:00:00:00,JSOC_20181122_375
2012:11:18:00:00:00,2012:11:19:00:00:00,JSOC_20181122_376
2012:11:29:00:00:00,2012:11:30:00:00:00,JSOC_20181122_377
2012:12:05:00:00:00,2012:12:06:00:00:00,JSOC_20181122_378
2012:12:19:00:00:00,2012:12:20:00:00:00,JSOC_20181122_379
2012:12:28:00:00:00,2012:12:29:00:00:00,JSOC_20181122_380
2012:12:29:00:00:00,2012:12:30:00:00:00,JSOC_20181122_381
2013:01:01:00:00:00,2013:01:02:00:00:00,JSOC_20181122_382
2013:01:01:00:00:00,2013:01:02:00:00:00,JSOC_20181122_383
2013:01:03:00:00:00,2013:01:04:00:00:00,JSOC_20181122_384
2013:01:05:00:00:00,2013:01:06:00:00:00,JSOC_20181122_385
2013:01:06:00:00:00,2013:01:07:00:00:00,JSOC_20181122_386
2013:01:07:00:00:00,2013:01:08:00:00:00,JSOC_20181122_387
2013:01:07:00:00:00,2013:01:08:00:00:00,JSOC_20181122_388
2013:01:09:00:00:00,2013:01:10:00:00:00,JSOC_20181122_389
2013:01:15:00:00:00,2013:01:16:00:00:00,JSOC_20181122_390
2013:01:17:00:00:00,2013:01:18:00:00:00,JSOC_20181122_391
2013:01:26:00:00:00,2013:01:27:00:00:00,JSOC_20181122_392
2013:01:27:00:00:00,2013:01:28:00:00:00,JSOC_20181122_393
2013:02:08:00:00:00,2013:02:09:00:00:00,JSOC_20181122_394
2013:02:15:00:00:00,2013:02:16:00:00:00,JSOC_20181122_395
2013:02:13:00:00:00,2013:02:14:00:00:00,JSOC_20181122_396
2013:02:20:00:00:00,2013:02:21:00:00:00,JSOC_20181122_397
2013:02:21:00:00:00,2013:02:22:00:00:00,JSOC_20181122_398
2013:02:21:00:00:00,2013:02:22:00:00:00,JSOC_20181122_369
2013:02:27:00:00:00,2013:02:28:00:00:00,JSOC_20181122_399
2013:03:01:00:00:00,2013:03:02:00:00:00,JSOC_20181122_400
2013:03:05:00:00:00,2013:03:06:00:00:00,JSOC_20181122_401
2013:03:06:00:00:00,2013:03:07:00:00:00,JSOC_20181122_369
2013:03:11:00:00:00,2013:03:12:00:00:00,JSOC_20181122_402
2013:03:14:00:00:00,2013:03:15:00:00:00,JSOC_20181122_369
2013:03:19:00:00:00,2013:03:20:00:00:00,JSOC_20181122_403
2013:03:28:00:00:00,2013:03:29:00:00:00,JSOC_20181122_404
2013:03:26:00:00:00,2013:03:27:00:00:00,JSOC_20181122_405
2013:03:30:00:00:00,2013:03:31:00:00:00,JSOC_20181122_406
2013:04:01:00:00:00,2013:04:02:00:00:00,JSOC_20181122_407
2013:04:06:00:00:00,2013:04:07:00:00:00,JSOC_20181122_408
2013:04:09:00:00:00,2013:04:10:00:00:00,JSOC_20181122_409
2013:04:18:00:00:00,2013:04:19:00:00:00,JSOC_20181122_410
2013:04:23:00:00:00,2013:04:24:00:00:00,JSOC_20181122_411
2013:04:27:00:00:00,2013:04:28:00:00:00,JSOC_20181028_236
2013:05:02:00:00:00,2013:05:03:00:00:00,JSOC_20181122_413
2013:05:10:00:00:00,2013:05:11:00:00:00,JSOC_20181122_414
2013:05:15:00:00:00,2013:05:16:00:00:00,JSOC_20181122_415
2013:05:16:00:00:00,2013:05:17:00:00:00,JSOC_20181122_416
2013:05:23:00:00:00,2013:05:24:00:00:00,JSOC_20181122_417
2013:05:29:00:00:00,2013:05:30:00:00:00,JSOC_20181122_418
2013:05:31:00:00:00,2013:06:01:00:00:00,JSOC_20181122_419
2013:05:29:00:00:00,2013:05:30:00:00:00,JSOC_20181122_420
2013:06:06:00:00:00,2013:06:07:00:00:00,JSOC_20181122_421
2013:06:18:00:00:00,2013:06:19:00:00:00,JSOC_20181122_422
2013:06:19:00:00:00,2013:06:20:00:00:00,JSOC_20181122_423
2013:06:25:00:00:00,2013:06:26:00:00:00,JSOC_20181122_424
2013:06:28:00:00:00,2013:06:29:00:00:00,JSOC_20181122_425
2013:07:03:00:00:00,2013:07:04:00:00:00,JSOC_20181122_426
2013:07:03:00:00:00,2013:07:04:00:00:00,JSOC_20181122_427
2013:07:06:00:00:00,2013:07:07:00:00:00,JSOC_20181122_428
2013:07:08:00:00:00,2013:07:09:00:00:00,JSOC_20181122_429
2013:07:15:00:00:00,2013:07:16:00:00:00,JSOC_20181122_430
2013:07:20:00:00:00,2013:07:21:00:00:00,JSOC_20181122_431
2013:07:20:00:00:00,2013:07:21:00:00:00,JSOC_20181122_432
2013:07:31:00:00:00,2013:08:01:00:00:00,JSOC_20181122_433
2013:08:02:00:00:00,2013:08:03:00:00:00,JSOC_20181122_434
2013:08:05:00:00:00,2013:08:06:00:00:00,JSOC_20181122_435
2013:08:05:00:00:00,2013:08:06:00:00:00,JSOC_20181122_436
2013:08:02:00:00:00,2013:08:03:00:00:00,JSOC_20181122_437
2013:08:11:00:00:00,2013:08:12:00:00:00,JSOC_20181122_438
2013:08:11:00:00:00,2013:08:12:00:00:00,JSOC_20181122_439
2013:08:13:00:00:00,2013:08:14:00:00:00,JSOC_20181122_440
2013:08:17:00:00:00,2013:08:18:00:00:00,JSOC_20181122_441
2013:08:19:00:00:00,2013:08:20:00:00:00,JSOC_20181122_442
2013:08:19:00:00:00,2013:08:20:00:00:00,JSOC_20181122_443
2013:08:29:00:00:00,2013:08:30:00:00:00,JSOC_20181122_444
2013:09:10:00:00:00,2013:09:11:00:00:00,JSOC_20181028_236
2013:09:15:00:00:00,2013:09:16:00:00:00,JSOC_20181122_445
2013:09:21:00:00:00,2013:09:22:00:00:00,JSOC_20181122_446
2013:09:21:00:00:00,2013:09:22:00:00:00,JSOC_20181028_236
2013:09:21:00:00:00,2013:09:22:00:00:00,JSOC_20181122_447
2013:09:21:00:00:00,2013:09:22:00:00:00,JSOC_20181122_448
2013:09:24:00:00:00,2013:09:25:00:00:00,JSOC_20181122_449
2013:09:27:00:00:00,2013:09:28:00:00:00,JSOC_20181122_450
2013:10:02:00:00:00,2013:10:03:00:00:00,JSOC_20181122_451
2013:10:01:00:00:00,2013:10:02:00:00:00,JSOC_20181122_454
2013:10:06:00:00:00,2013:10:07:00:00:00,JSOC_20181122_455
2013:10:09:00:00:00,2013:10:10:00:00:00,JSOC_20181122_456
2013:10:09:00:00:00,2013:10:10:00:00:00,JSOC_20181122_457
2013:10:16:00:00:00,2013:10:17:00:00:00,JSOC_20181122_458
2013:10:18:00:00:00,2013:10:19:00:00:00,JSOC_20181122_459
2013:10:18:00:00:00,2013:10:19:00:00:00,JSOC_20181122_460
2013:10:20:00:00:00,2013:10:21:00:00:00,JSOC_20181122_461
2013:10:18:00:00:00,2013:10:19:00:00:00,JSOC_20181122_462
2013:10:24:00:00:00,2013:10:25:00:00:00,JSOC_20181122_463
2013:10:26:00:00:00,2013:10:27:00:00:00,JSOC_20181122_464
2013:10:31:00:00:00,2013:11:01:00:00:00,JSOC_20181122_465
2013:11:03:00:00:00,2013:11:04:00:00:00,JSOC_20181122_466
2013:11:10:00:00:00,2013:11:11:00:00:00,JSOC_20181122_467
2013:11:14:00:00:00,2013:11:15:00:00:00,JSOC_20181122_468
2013:11:15:00:00:00,2013:11:16:00:00:00,JSOC_20181122_469
2013:11:22:00:00:00,2013:11:23:00:00:00,JSOC_20181122_470
2013:11:28:00:00:00,2013:11:29:00:00:00,JSOC_20181122_471
2013:11:28:00:00:00,2013:11:29:00:00:00,JSOC_20181122_472
2013:11:27:00:00:00,2013:11:28:00:00:00,JSOC_20181122_473
2013:12:01:00:00:00,2013:12:02:00:00:00,JSOC_20181122_474
2013:12:07:00:00:00,2013:12:08:00:00:00,JSOC_20181122_475
2013:12:14:00:00:00,2013:12:15:00:00:00,JSOC_20181122_476
2013:12:12:00:00:00,2013:12:13:00:00:00,JSOC_20181122_477
2013:12:21:00:00:00,2013:12:22:00:00:00,JSOC_20181122_478
2013:12:26:00:00:00,2013:12:27:00:00:00,JSOC_20181122_479
2013:12:30:00:00:00,2013:12:31:00:00:00,JSOC_20181122_480
2014:01:04:00:00:00,2014:01:05:00:00:00,JSOC_20181122_481
2014:01:05:00:00:00,2014:01:06:00:00:00,JSOC_20181122_482
2014:01:03:00:00:00,2014:01:04:00:00:00,JSOC_20181122_483
2014:01:11:00:00:00,2014:01:12:00:00:00,JSOC_20181122_485
2014:01:13:00:00:00,2014:01:14:00:00:00,JSOC_20181122_486
2014:01:11:00:00:00,2014:01:12:00:00:00,JSOC_20181122_487
2014:01:17:00:00:00,2014:01:18:00:00:00,JSOC_20181122_488
2014:01:20:00:00:00,2014:01:21:00:00:00,JSOC_20181122_489
2014:01:22:00:00:00,2014:01:23:00:00:00,JSOC_20181122_490
2014:01:25:00:00:00,2014:01:26:00:00:00,JSOC_20181122_491
2014:01:24:00:00:00,2014:01:25:00:00:00,JSOC_20181122_492
2014:01:26:00:00:00,2014:01:27:00:00:00,JSOC_20181122_493
2014:01:27:00:00:00,2014:01:28:00:00:00,JSOC_20181122_494
2014:02:07:00:00:00,2014:02:08:00:00:00,JSOC_20181122_495
2014:02:14:00:00:00,2014:02:15:00:00:00,JSOC_20181122_496
2014:02:21:00:00:00,2014:02:22:00:00:00,JSOC_20181122_497
2014:02:21:00:00:00,2014:02:22:00:00:00,JSOC_20181122_498
2014:02:26:00:00:00,2014:02:27:00:00:00,JSOC_20181122_499
2014:02:27:00:00:00,2014:02:28:00:00:00,JSOC_20181122_500
2014:03:01:00:00:00,2014:03:02:00:00:00,JSOC_20181122_501
2014:03:10:00:00:00,2014:03:11:00:00:00,JSOC_20181122_502
2014:03:06:00:00:00,2014:03:07:00:00:00,JSOC_20181122_503
2014:03:09:00:00:00,2014:03:10:00:00:00,JSOC_20181122_504
2014:03:14:00:00:00,2014:03:15:00:00:00,JSOC_20181122_505
2014:03:26:00:00:00,2014:03:27:00:00:00,JSOC_20181122_506
2014:03:29:00:00:00,2014:03:30:00:00:00,JSOC_20181122_507
2014:03:30:00:00:00,2014:03:31:00:00:00,JSOC_20181122_508
2014:04:05:00:00:00,2014:04:06:00:00:00,JSOC_20181122_509
2014:04:12:00:00:00,2014:04:13:00:00:00,JSOC_20181122_510
2014:04:13:00:00:00,2014:04:14:00:00:00,JSOC_20181122_511
2014:04:16:00:00:00,2014:04:17:00:00:00,JSOC_20181122_512
2014:04:21:00:00:00,2014:04:22:00:00:00,JSOC_20181122_513
2014:05:02:00:00:00,2014:05:03:00:00:00,JSOC_20181028_236
2014:05:05:00:00:00,2014:05:06:00:00:00,JSOC_20181028_236
2014:05:08:00:00:00,2014:05:09:00:00:00,JSOC_20181028_236
2014:05:11:00:00:00,2014:05:12:00:00:00,JSOC_20181028_236
2014:05:11:00:00:00,2014:05:12:00:00:00,JSOC_20181028_236
2014:05:16:00:00:00,2014:05:17:00:00:00,JSOC_20181122_514
2014:05:15:00:00:00,2014:05:16:00:00:00,JSOC_20181028_236
2014:05:19:00:00:00,2014:05:20:00:00:00,JSOC_20181028_236
2014:05:18:00:00:00,2014:05:19:00:00:00,JSOC_20181028_236
2014:05:21:00:00:00,2014:05:22:00:00:00,JSOC_20181028_236
2014:05:28:00:00:00,2014:05:29:00:00:00,JSOC_20181028_236
2014:06:02:00:00:00,2014:06:03:00:00:00,JSOC_20181028_236
2014:06:06:00:00:00,2014:06:07:00:00:00,JSOC_20181028_236
2014:06:07:00:00:00,2014:06:08:00:00:00,JSOC_20181028_236
2014:06:10:00:00:00,2014:06:11:00:00:00,JSOC_20181028_236
2014:06:16:00:00:00,2014:06:17:00:00:00,JSOC_20181028_236
2014:06:21:00:00:00,2014:06:22:00:00:00,JSOC_20181028_236
2014:06:27:00:00:00,2014:06:28:00:00:00,JSOC_20181028_236
2014:06:25:00:00:00,2014:06:26:00:00:00,JSOC_20181028_236
2014:06:30:00:00:00,2014:07:01:00:00:00,JSOC_20181028_236
2014:07:03:00:00:00,2014:07:04:00:00:00,JSOC_20181122_516
2014:07:01:00:00:00,2014:07:02:00:00:00,JSOC_20181028_236
2014:07:03:00:00:00,2014:07:04:00:00:00,JSOC_20181028_236
2014:06:30:00:00:00,2014:07:01:00:00:00,JSOC_20181028_236
2014:07:04:00:00:00,2014:07:05:00:00:00,JSOC_20181028_236
2014:07:04:00:00:00,2014:07:05:00:00:00,JSOC_20181028_236
2014:07:06:00:00:00,2014:07:07:00:00:00,JSOC_20181028_236
2014:07:06:00:00:00,2014:07:07:00:00:00,JSOC_20181028_236
2014:07:08:00:00:00,2014:07:09:00:00:00,JSOC_20181028_236
2014:07:13:00:00:00,2014:07:14:00:00:00,JSOC_20181028_236
2014:07:12:00:00:00,2014:07:13:00:00:00,JSOC_20181028_236
2014:07:19:00:00:00,2014:07:20:00:00:00,JSOC_20181028_236
2014:07:25:00:00:00,2014:07:26:00:00:00,JSOC_20181028_236
2014:07:26:00:00:00,2014:07:27:00:00:00,JSOC_20181028_236
2014:07:30:00:00:00,2014:07:31:00:00:00,JSOC_20181028_236
2014:08:01:00:00:00,2014:08:02:00:00:00,JSOC_20181028_236
2014:08:02:00:00:00,2014:08:03:00:00:00,JSOC_20181028_236
2014:08:06:00:00:00,2014:08:07:00:00:00,JSOC_20181028_236
2014:08:18:00:00:00,2014:08:19:00:00:00,JSOC_20181122_369
2014:08:18:00:00:00,2014:08:19:00:00:00,JSOC_20181122_369
2014:08:17:00:00:00,2014:08:18:00:00:00,JSOC_20181122_369
2014:08:16:00:00:00,2014:08:17:00:00:00,JSOC_20181122_369
2014:08:22:00:00:00,2014:08:23:00:00:00,JSOC_20181122_369
2014:08:30:00:00:00,2014:08:31:00:00:00,JSOC_20181122_369
2014:09:04:00:00:00,2014:09:05:00:00:00,JSOC_20181122_369
2014:09:08:00:00:00,2014:09:09:00:00:00,JSOC_20181122_369
2014:09:07:00:00:00,2014:09:08:00:00:00,JSOC_20181122_369
2014:09:11:00:00:00,2014:09:12:00:00:00,JSOC_20181122_369
2014:09:15:00:00:00,2014:09:16:00:00:00,JSOC_20181122_369
2014:09:17:00:00:00,2014:09:18:00:00:00,JSOC_20181122_369
2014:09:20:00:00:00,2014:09:21:00:00:00,JSOC_20181122_369
2014:09:21:00:00:00,2014:09:22:00:00:00,JSOC_20181122_369
2014:09:21:00:00:00,2014:09:22:00:00:00,JSOC_20181122_369
2014:09:23:00:00:00,2014:09:24:00:00:00,JSOC_20181122_369
2014:09:27:00:00:00,2014:09:28:00:00:00,JSOC_20181122_369
2014:10:01:00:00:00,2014:10:02:00:00:00,JSOC_20181028_236
2014:10:02:00:00:00,2014:10:03:00:00:00,JSOC_20181028_236
2014:10:03:00:00:00,2014:10:04:00:00:00,JSOC_20181028_236
2014:10:01:00:00:00,2014:10:02:00:00:00,JSOC_20181028_236
2014:10:04:00:00:00,2014:10:05:00:00:00,JSOC_20181028_236
2014:10:07:00:00:00,2014:10:08:00:00:00,JSOC_20181028_236
2014:10:08:00:00:00,2014:10:09:00:00:00,JSOC_20181028_236
2014:10:09:00:00:00,2014:10:10:00:00:00,JSOC_20181028_236
